search URL:,https://patents.google.com/?inventor=sabiron+guillaume&oq=inventor:%28sabiron+guillaume%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-3452792-B1,Procédé et dispositif de détermination d'une estimation de la masse totale d'un véhicule automobile ,Compagnie Générale des Etablissements Michelin,"Domenico Di Domenico, Alexandre Chasse, Guillaume SABIRON",2016-06-30,2017-06-21,2021-03-24,2021-03-24,https://patents.google.com/patent/EP3452792B1/fr,https://patentimages.storage.googleapis.com/30/ed/a4/eb68461f49364c/imgf0001.png
EP-3936824-A1,Procede de caracterisation d'un trajet parcouru par un utilisateur ,IFP Energies nouvelles,"Francisco Jose GONZALEZ DE COSSIO ECHEVERRIA, Guillaume SABIRON, Laurent Thibault",2020-07-08,2021-06-15,2022-01-12,,https://patents.google.com/patent/EP3936824A1/fr,https://patentimages.storage.googleapis.com/b4/be/42/9d9c3cb286a2a7/imgf0001.png
EP-3956559-A1,Procede et systeme de controle d'une grandeur d'une eolienne par choix du controleur par un apprentissage automatique ,"IFP Energies nouvelles, Centre National de la Recherche Scientifique, Université Grenoble Alpes, Institut Polytechnique de Grenoble","David Collet, Guillaume SABIRON, Domenico Di Domenico, Mazen AL-AMIR",2019-04-16,2020-03-27,2022-02-23,,https://patents.google.com/patent/EP3956559A1/fr,
EP-3836115-A1,Procede de determination d'emissions polluantes et/ou sonores et/ou de parametres de securite routiere sur une portion de reseau routier ,IFP Energies nouvelles,"Giovanni DE NUNZIO, Guillaume SABIRON, Laurent Thibault",2019-12-09,2020-11-25,2021-06-16,,https://patents.google.com/patent/EP3836115A1/fr,https://patentimages.storage.googleapis.com/0e/35/57/68964b6cdbdfd0/imgf0001.png
CA-3177085-A1,Procede de determination des composantes de la vitesse du vent au moyen d'un capteur de teledetection par laser ,"Jonathan Chauvin, IFP Energies Nouvelles, Fabrice Guillemin, Romain GOUSSAULT, Guillaume SABIRON, Benoit Bayon (Decede)","Jonathan Chauvin, Fabrice Guillemin, Romain GOUSSAULT, Guillaume SABIRON, Benoit Bayon (Decede)",2020-06-08,2021-05-18,2021-12-16,,https://patents.google.com/patent/CA3177085A1/fr,
EP-4172648-A1,Procede de determination des composantes de la vitesse du vent au moyen d'un capteur de teledetection par laser et au moyen d'une coherence temporelle ,IFP Energies nouvelles,"Fabrice Guillemin, Guillaume SABIRON, Romain GOUSSAULT",2020-06-29,2021-06-11,2023-05-03,,https://patents.google.com/patent/EP4172648A1/fr,
EP-3515763-B1,Procédé et dispositif d'analyse de la répartition des dépenses énergétiques d'un véhicule automobile ,Compagnie Générale des Etablissements Michelin,"Alexandre Chasse, Domenico Di Domenico, Guillaume SABIRON",2016-09-26,2017-09-15,2020-11-04,2020-11-04,https://patents.google.com/patent/EP3515763B1/fr,https://patentimages.storage.googleapis.com/2d/f6/86/e2a94c53df082f/imgf0001.png
FR-3145802-A1,Procédé de détermination d’au moins un attribut du trafic routier pour un réseau de transport ,IFP Energies Nouvelles,"Francisco Jose GONZALEZ DE COSSIO ECHEVERRIA, Giovanni DE NUNZIO, Guillaume Sabiron",2023-02-14,2023-02-14,2024-08-16,,https://patents.google.com/patent/FR3145802A1/fr,
EP-4375619-A3,Procede de determination d'un mode de transport d'un trajet parcouru par au moins un utilisateur ,IFP Energies nouvelles,"Francisco Jose GONZALEZ DE COSSIO ECHEVERRIA, Guillaume SABIRON",2022-11-28,2023-11-15,2024-08-07,,https://patents.google.com/patent/EP4375619A3/fr,
EP-4261802-A1,Procede de determination d'un debit de vehicules sur au moins un brin d'un reseau routier a partir de donnees de geolocalisation ,IFP Energies nouvelles,"Bassel OTHMAN, Mohamed LARAKI, Giovanni DE NUNZIO, Guillaume SABIRON",2022-04-12,2023-03-29,2023-10-18,,https://patents.google.com/patent/EP4261802A1/fr,https://patentimages.storage.googleapis.com/ce/ef/c4/1a90271a9bf9c3/imgf0001.png
